brand,file_urls,model,product,product_lang,source,type,url
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/123576890.pdf,B10-SLC,B10 Gravity Feed Slicer,,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/slicers/b10-gravity-feed-slicer
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/RSPC%20ESP%20OW%20Technical%20Manual.pdf,RSPC-ESP-OW,ESP Pollution Control Unit,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent&page=1
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/86183124.pdf,MB1-2STD,"1/2"" MB Series 1/3 HP Countertop Bread Slicer",,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/slicers/12-mb-series-13-hp-countertop-bread-slicer
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/ELXC%20%26%20ELXC%20UV%20Technical%20Manual.pdf,ELXC & ELXC-UV,ELXC & ELXC-UV,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent&page=1
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/ELX%20%26%20ELX%20UV%20Technical%20Manual.pdf,ELX & ELX-UV,ELX & ELX-UV,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent&page=1
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/EL%20Technical%20Manual_0.pdf,EL,EL Dry Ventilator,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent&page=1
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/DCA%20Technical%20Manual%20R2%2003%2004%202021.pdf,,Demand Control Autostart,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent&page=1
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/86183078.pdf,350D,350D Vacuum Packaging Machine,,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/vacuum-packaging/350d-vacuum-packaging-machine
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/Eliminator%20ELXC-SPC%20CAN%20Technical%20Manual_0.pdf,ELXC-SPC,Eliminator Pollution Control Ventilator,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/CUV-1000%20Technical%20Manual.pdf,CUV,CUV Control Cabinet,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent&page=1
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/CG3-UVi%20Technical%20Manual_0.pdf,CG3-UVi,CG3-UVi Series,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent&page=1
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/RSPC-TPF-PCV-OCU%20Technical%20Manual_1.pdf,RSPC-TPF-PCV,Eliminator Duct-Mounted Pollution Control Unit,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/UDS-TM.pdf,,"Gaylord ""Distributor"" ™",,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/86183124.pdf,MB7-16STD,"7/16"" MB Series 1/3 HP Countertop Bread Slicer",,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/slicers/716-mb-series-13-hp-countertop-bread-slicer
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/123576893.pdf,B14-SLC,B14 Gravity Feed Slicer,,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/slicers/b14-gravity-feed-slicer
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/2023-02/86183160.pdf,X13-PLUS,"X13-Plus Series 13"" Knife Manual Gravity Feed Slicer (45º) with Gauge Plate Interlock",,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/slicers/x13-plus-series-13-knife-manual-gravity-feed-slicer-45o-gauge-plate-interlock
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/Eliminator%20ELXC-SPC%20Technical%20Manual.pdf,ELXC-SPC,Eliminator Pollution Control Ventilator,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/C-7000A%20Technical%20Manual_0.pdf,C-7000A,C-7000A Command Center,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/123576891.pdf,B12-SLC,B12 Gravity Feed Slicer,,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/slicers/b12-gravity-feed-slicer
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/C-6000-D%20Technical%20Manual.pdf,C-6000D,C-6000D Control Cabinet,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/AirVantage%20%28DCV-AV%3B%20DCV-AVND%29%20Operators%20Manual_0.pdf,,AirVantage,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/86183124.pdf,MB3-8STD,"3/8"" MB Series 1/3 HP Countertop Bread Slicer",,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/slicers/38-mb-series-13-hp-countertop-bread-slicer
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/86183161.pdf,X13A-PLUS,"X13-Plus Series 13"" Knife Automatic Gravity Feed Slicer (45º) with 3 Stroke Lengths and Speeds and Gauge Plate Interlock",,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/slicers/x13-plus-series-13-knife-automatic-gravity-feed-slicer-45o-3-stroke-lengths-and-speeds-and
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/123576889.pdf,B9-SLC,B9 Gravity Feed Slicer,,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/slicers/b9-gravity-feed-slicer
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/123576892.pdf,B12A-SLC,B12A Gravity Feed Slicer,,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/slicers/b12a-gravity-feed-slicer
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/VH2_2.pdf,,VH2 Series Vapor Hood,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/vh2-series-vapor-hood
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/VH2-HH%20Technical%20Manual.pdf,VH2,Model VH2,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/RSPC-TPF%20FM-1000A%20Technical%20Manual.pdf,RSPC-TPF-FM-1000A,TPF Pollution Control Unit,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent
gaylordventilation,/gaylord-flipbooks/blue-book/index.html,,VH2 Series Vapor Hood,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/vh2-series-vapor-hood
gaylordventilation,https://www.gaylordventilation.com/resource-center,,VH2 Series Vapor Hood,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/vh2-series-vapor-hood
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/Eliminator%20Product%20of%20The%20Year%202018%20General%20Brochure_3.pdf,,Show Smoke and Odor Who's Boss,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/show-smoke-and-odor-whos-boss
