alt_files,brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,scrapfly,source,thumb,type,url,video
,Shokz,,https://cdn.shopifycdn.net/s/files/1/0282/2091/5843/files/OpenSwim_UserGuide-Dutch.pdf?v=1661760116,,OpenSwim,,Waterproof Bone Conduction MP3 Headphones,nl,,,shokz,https://nl.shokz.com/cdn/shop/products/BLACK1_1200x1200.webp?v=1672741410,User Guide,https://nl.shokz.com/products/openswim,
,Shokz,,https://cdn.shopify.com/s/files/1/0474/1981/8141/files/OpenSwim_User_Guide_DE.pdf?v=1679377782,,OpenSwim,,Waterproof Bone Conduction MP3 Headphones,de,,,shokz,https://de.shokz.com/cdn/shop/products/BLACK1_1200x1200.webp?v=1672739783,User Guide,https://de.shokz.com/products/openswim,
,Shokz,,https://www.shokz.cz/wp-content/uploads/2022/02/8000500158-Shokz_OpenSwimS700-Manual_CZ_SK-2.pdf,,OpenSwim,,Waterproof Bone Conduction MP3 Headphones,cs,,,shokz,https://www.shokz.cz/wp-content/uploads/2022/05/W_3euNYM-1024x1024.png,User Manual,https://www.shokz.cz/openswim/,
,Shokz,,https://cdn.shopify.com/s/files/1/0282/2091/5843/files/OpenComm2_UC_User_Guide-NL.pdf?v=1686050115,,OpenComm2UC,,Bone Conduction Stereo Bluetooth Headset,nl,,,shokz,https://nl.shokz.com/cdn/shop/files/OPENCOMM2UC-usba1_1200x1200.png?v=1685781619,User Guide,https://nl.shokz.com/products/opencomm2uc,
,Shokz,4003794354275,https://cdn.shopify.com/s/files/1/0857/5574/files/OpenSwim-User_Guide.pdf,,OpenSwim,,Waterproof Bone Conduction MP3 Headphones,en,,,shokz,https://ca.shokz.com/cdn/shop/products/BLACK1_03fb2acd-a2df-4f8b-8cc6-f0c062e1dc02.png?v=1640747670,User Guide,https://ca.shokz.com/products/openswim,
,Shokz,,https://cdn.shopify.com/s/files/1/0474/1981/8141/files/OpenMove_User_Guide_DE.pdf?v=1679377783,,OpenMove,,Wireless Bone Conduction Headphones,de,,,shokz,https://de.shokz.com/cdn/shop/products/GREY1_75bbb9d0-7282-4b10-8cbb-51b5e3c63570_1200x1200.webp?v=1672740539,User Guide,https://de.shokz.com/products/openmove,
,Shokz,,https://cdn.shopify.com/s/files/1/0074/1890/4612/files/OpenMove_en_User_Manual_V1.0.pdf?v=1640922553,,OpenMove,,Wireless Bone Conduction Headphones,ja,,,shokz,https://jp.shokz.com/cdn/shop/products/GREY1_57119ab0-e399-4de8-bfa6-8ddc1215cdb1_1200x1200.webp?v=1672725646,User Manual,https://jp.shokz.com/products/bone-conduction-headphone-openmove,
,Shokz,,https://cdn.shopify.com/s/files/1/0271/5389/1376/files/Shokz_OpenMove.pdf?v=1646184252,,OpenMove,,Wireless Bone Conduction Headphones,ja,,,shokz,https://jp.shokz.com/cdn/shop/products/GREY1_57119ab0-e399-4de8-bfa6-8ddc1215cdb1_1200x1200.webp?v=1672725646,User Manual,https://jp.shokz.com/products/bone-conduction-headphone-openmove,
,Shokz,,https://cdn.shopify.com/s/files/1/0252/6088/4047/files/OpenMove_User_Guide-Fr-0222.pdf?v=1645603720,,OpenMove,,Wireless Bone Conduction Headphones,fr,,,shokz,https://fr.shokz.com/cdn/shop/products/GREY1_47800bf5-ec2e-43d0-9c8c-5a5234d875df_1200x1200.webp?v=1672738657,User Guide,https://fr.shokz.com/products/openmove,
,Shokz,,https://cdn.shopify.com/s/files/1/0282/2091/5843/files/OpenMove-User_Guide-NL.pdf?v=1656650623,,OpenMove,,Wireless Bone Conduction Headphones,nl,,,shokz,https://nl.shokz.com/cdn/shop/products/GREY1_a7663951-b9f0-4b89-b934-0d00d5b46a8d_1200x1200.webp?v=1672741980,User Guide,https://nl.shokz.com/products/openmove,
,Shokz,4693327183971,https://cdn.shopifycdn.net/s/files/1/0857/5574/files/OpenMove-User_Guide.pdf,,OpenMove,,Wireless Bone Conduction Headphones,en,,,shokz,https://ca.shokz.com/cdn/shop/products/GREY1.png?v=1649231001,User Guide,https://ca.shokz.com/products/openmove,
